"","FPKM.SRR945391"
"ENSMUSG00000003200",3.72446583878691
"ENSMUSG00000003206",0
"ENSMUSG00000003208",0.756214460653753
"ENSMUSG00000003226",13.6153062349079
"ENSMUSG00000003227",0.24832
"ENSMUSG00000003228",1.84740564989369
"ENSMUSG00000003233",8.48978659516381
"ENSMUSG00000003234",11.1530912543564
"ENSMUSG00000003235",15.7362616990366
"ENSMUSG00000003269",6.87763759448476
"ENSMUSG00000003271",0.0576070681012658
"ENSMUSG00000003273",0.357376352544133
"ENSMUSG00000003279",0.0653001648965903
"ENSMUSG00000003282",0.369274271945328
"ENSMUSG00000003283",0.244452
"ENSMUSG00000003299",19.7108384440199
"ENSMUSG00000003308",7.78177422373748
"ENSMUSG00000003309",7.95499458503185
"ENSMUSG00000003316",30.430649922708
"ENSMUSG00000003341",0
"ENSMUSG00000003344",11.4883741522588
"ENSMUSG00000003345",13.4705610796277
"ENSMUSG00000003346",34.611271804137
"ENSMUSG00000003348",0.673962532882606
"ENSMUSG00000003352",1.42914497905237
"ENSMUSG00000003354",0.21903890562249
"ENSMUSG00000003355",0.426131724316334
"ENSMUSG00000003360",9.97927204430888
"ENSMUSG00000003363",18.4274539227086
"ENSMUSG00000003378",2.91659816137771
"ENSMUSG00000003379",1.956202
"ENSMUSG00000003380",39.5998145856861
"ENSMUSG00000003382",2.76789544393615
"ENSMUSG00000003402",20.4602414292398
"ENSMUSG00000003410",0.304719482438316
"ENSMUSG00000003411",0.455985931328036
"ENSMUSG00000003418",5.37025462891441
"ENSMUSG00000003420",89.0031294343482
"ENSMUSG00000003421",7.71199581642857
"ENSMUSG00000003423",7.19247472623762
"ENSMUSG00000003429",140.833398603468
"ENSMUSG00000003435",16.1692868832408
"ENSMUSG00000003436",0
"ENSMUSG00000003437",11.913030209715
"ENSMUSG00000003438",10.0652838967958
"ENSMUSG00000003444",7.547501
"ENSMUSG00000003452",0.374846068863479
"ENSMUSG00000003458",22.0610694613836
"ENSMUSG00000003464",22.69059204692
"ENSMUSG00000003469",0.882709674226804
"ENSMUSG00000003476",0
"ENSMUSG00000003477",32.011429555
"ENSMUSG00000003484",0.242802457142857
"ENSMUSG00000003500",2.20419606800243
"ENSMUSG00000003505",0
"ENSMUSG00000003518",9.24093081418197
"ENSMUSG00000003526",27.1170163232012
"ENSMUSG00000003527",3.42660420987946
"ENSMUSG00000003528",39.6388752624769
"ENSMUSG00000003531",4.83849655477387
"ENSMUSG00000003534",23.1108394509845
"ENSMUSG00000003541",12.457181
"ENSMUSG00000003545",0
"ENSMUSG00000003546",23.3191769444678
"ENSMUSG00000003549",2.26531668434587
"ENSMUSG00000003555",0.433754951245937
"ENSMUSG00000003559",10.8420065793898
"ENSMUSG00000003573",2.80862487412791
"ENSMUSG00000003575",2.32831911652656
"ENSMUSG00000003581",6.84962327598566
"ENSMUSG00000003585",0.682927281312411
"ENSMUSG00000003604",2.46591528494301
"ENSMUSG00000003617",15.4709769570353
"ENSMUSG00000003623",58.1865457137097
"ENSMUSG00000003644",7.84167882268671
"ENSMUSG00000003657",0
"ENSMUSG00000003660",20.8651246660698
"ENSMUSG00000003662",12.4352251814201
"ENSMUSG00000003665",0
"ENSMUSG00000003680",0.896831161849711
"ENSMUSG00000003721",10.1612832038583
"ENSMUSG00000003731",14.5288617421608
"ENSMUSG00000003746",15.1329637984866
"ENSMUSG00000003752",0.707929294418165
"ENSMUSG00000003762",3.36176953043323
"ENSMUSG00000003778",3.29959066350042
"ENSMUSG00000003779",0.106963538497003
"ENSMUSG00000003808",3.4124611740855
"ENSMUSG00000003809",101.720331108206
"ENSMUSG00000003810",9.98330338103336
"ENSMUSG00000003812",2.48420043551679
"ENSMUSG00000003813",6.99625379976717
"ENSMUSG00000003814",92.40720480625
"ENSMUSG00000003824",1.71221952743902
"ENSMUSG00000003847",5.51173727271738
"ENSMUSG00000003848",4.04925556655192
"ENSMUSG00000003849",40.179745
"ENSMUSG00000003863",0.0377155586783137
"ENSMUSG00000003865",12.4750239686782
"ENSMUSG00000003868",5.56509239765679
"ENSMUSG00000003872",0
"ENSMUSG00000003873",8.74459236611675
"ENSMUSG00000003882",0.143879022088784
"ENSMUSG00000003923",9.0567563726904
"ENSMUSG00000003929",2.11850392223859
"ENSMUSG00000003934",0
"ENSMUSG00000003948",7.28636527645909
"ENSMUSG00000003949",16.7539432189792
"ENSMUSG00000003955",21.0572950352941
"ENSMUSG00000003970",176.910933606328
"ENSMUSG00000003974",0.07463
"ENSMUSG00000003992",1.83743259361302
"ENSMUSG00000004018",1.51574120284697
"ENSMUSG00000004031",0
"ENSMUSG00000004032",69.3252886017214
"ENSMUSG00000004035",12.0104870181137
"ENSMUSG00000004038",1.355908
"ENSMUSG00000004040",10.1756521154613
"ENSMUSG00000004043",1.83025068610683
"ENSMUSG00000004044",8.97328505770839
"ENSMUSG00000004054",12.4569863061689
"ENSMUSG00000004056",8.90572728537372
"ENSMUSG00000004069",21.8938394337935
"ENSMUSG00000004070",16.7020609760938
"ENSMUSG00000004071",9.11462232603527
"ENSMUSG00000004085",1.40281509651106
"ENSMUSG00000004096",29.3647165416932
"ENSMUSG00000004098",0.0554664119547658
"ENSMUSG00000004099",3.44467997803985
"ENSMUSG00000004100",1.7337514045954
"ENSMUSG00000004105",3.97739204104359
"ENSMUSG00000004110",0.0992150685745996
"ENSMUSG00000004113",0
"ENSMUSG00000004127",0.522631950601805
"ENSMUSG00000004151",1.7923670433213
"ENSMUSG00000004187",3.35889555213632
"ENSMUSG00000004207",426.168166770044
"ENSMUSG00000004221",1.13082384118372
"ENSMUSG00000004231",6.90124892882233
"ENSMUSG00000004233",2.45614969054827
"ENSMUSG00000004263",22.5364015584783
"ENSMUSG00000004264",22.1416262902098
"ENSMUSG00000004266",6.56952556102784
"ENSMUSG00000004267",0.690950739638682
"ENSMUSG00000004268",4.66368483959413
"ENSMUSG00000004270",34.7280423870869
"ENSMUSG00000004285",81.3099234336783
"ENSMUSG00000004296",0
"ENSMUSG00000004317",10.9816573600245
"ENSMUSG00000004319",7.0693757090973
"ENSMUSG00000004328",1.6462766852459
"ENSMUSG00000004341",39.4361686549708
"ENSMUSG00000004344",0
"ENSMUSG00000004347",0.124030901430209
"ENSMUSG00000004356",5.72552544229826
